customer_age,customer_region,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,real_is_detractor,risk_score,segmento_risco,acao_recomendada
36,Sul,53,443.59,1,26.75,2,6,2,38.58,1,1,0,3,1,0.46,Monitoramento,Acompanhar indicadores operacionais
45,Nordeste,111,670.27,4,40.0,11,6,1,21.28,3,1,4,4,1,0.67,Atenção,Monitorar pedido + contato preventivo
43,Sul,80,815.51,3,33.42,6,8,3,38.22,1,1,2,3,1,0.86,Crítico,Atendimento imediato + comunicação proativa
38,Centro-Oeste,66,37.84,2,74.94,9,10,3,37.44,3,5,0,11,1,0.89,Crítico,Atendimento imediato + comunicação proativa
23,Centro-Oeste,113,445.63,5,65.13,4,5,1,36.83,1,0,5,2,0,0.68,Atenção,Monitorar pedido + contato preventivo
45,Sudeste,112,300.88,2,28.88,11,7,4,39.72,2,1,0,3,1,0.79,Crítico,Atendimento imediato + comunicação proativa
65,Nordeste,46,87.36,5,1.62,8,14,1,35.57,2,1,6,5,0,0.81,Crítico,Atendimento imediato + comunicação proativa
65,Sudeste,9,233.43,1,31.45,10,13,1,44.21,1,2,0,3,0,0.27,Regular,Fluxo padrão
38,Nordeste,106,150.59,5,15.04,4,13,3,41.22,1,0,2,3,1,0.72,Atenção,Monitorar pedido + contato preventivo
65,Norte,34,570.71,4,51.49,11,14,2,41.51,3,3,5,6,1,0.92,Crítico,Atendimento imediato + comunicação proativa
44,Norte,100,335.96,4,12.24,1,7,2,37.07,3,2,9,5,1,0.9,Crítico,Atendimento imediato + comunicação proativa
27,Norte,62,1103.63,6,0.88,10,7,2,59.33,1,2,8,4,1,0.88,Crítico,Atendimento imediato + comunicação proativa
69,Nordeste,70,893.62,2,2.97,8,4,1,51.42,1,1,3,2,0,0.32,Monitoramento,Acompanhar indicadores operacionais
31,Sul,119,611.69,1,36.54,2,11,0,36.3,1,0,2,0,0,0.2,Regular,Fluxo padrão
55,Nordeste,98,1172.8,6,21.18,4,9,1,45.23,1,0,10,3,1,0.58,Atenção,Monitorar pedido + contato preventivo
19,Sudeste,9,606.49,5,39.05,1,2,2,46.72,1,0,8,3,1,0.79,Crítico,Atendimento imediato + comunicação proativa
48,Centro-Oeste,29,626.9,3,2.92,10,10,3,45.5,2,1,0,3,1,0.73,Atenção,Monitorar pedido + contato preventivo
22,Sul,103,72.67,3,20.24,5,2,2,43.21,2,3,0,7,1,0.91,Crítico,Atendimento imediato + comunicação proativa
32,Nordeste,74,553.97,3,10.81,10,10,3,17.59,3,2,0,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
69,Centro-Oeste,109,208.31,2,0.46,2,12,2,38.89,2,0,8,4,1,0.84,Crítico,Atendimento imediato + comunicação proativa
23,Sul,103,1094.43,4,36.53,11,14,2,47.86,3,2,11,4,1,0.89,Crítico,Atendimento imediato + comunicação proativa
31,Centro-Oeste,116,39.87,2,58.17,7,5,0,30.57,3,0,5,1,0,0.39,Monitoramento,Acompanhar indicadores operacionais
44,Norte,62,274.26,6,14.12,10,5,0,33.54,2,2,8,3,0,0.48,Monitoramento,Acompanhar indicadores operacionais
